Protein	EC number
Q41951	non Enzyme
Q9BVW5	non Enzyme
O75663	non Enzyme
P47974	non Enzyme
Q6R5N8	non Enzyme
Q9HC07	non Enzyme
Q93VV9	non Enzyme
Q3U284	non Enzyme
D3KZG3	non Enzyme
Q9UM00	non Enzyme
O17528	non Enzyme
Q15363	non Enzyme
P17152	non Enzyme
A6NDV4	non Enzyme
O01479	non Enzyme
O75888	non Enzyme
P43488	non Enzyme
P32971	non Enzyme
Q8NFZ5	non Enzyme
P19237	non Enzyme
P19429	non Enzyme
Q9ER62	non Enzyme
Q9UPQ9	non Enzyme
P51867	non Enzyme
P25446	non Enzyme
P50616	non Enzyme
Q8NFQ8	non Enzyme
P19934	non Enzyme
Q9H0E2	non Enzyme
Q9NS69	non Enzyme
Q9FNC9	non Enzyme
Q6Q4D0	non Enzyme
F8J4S0	non Enzyme
Q8TEL6	non Enzyme
Q12888	non Enzyme
P42949	non Enzyme
O14925	non Enzyme
O43615	non Enzyme
O60220	non Enzyme
Q9Y5J7	non Enzyme
P22711	non Enzyme
P79065	non Enzyme
Q9NR96	non Enzyme
O75204	non Enzyme
Q8IY95	non Enzyme
Q5SNT2	non Enzyme
Q96Q45	non Enzyme
O35235	non Enzyme
Q9UNG2	non Enzyme
Q06643	non Enzyme
P50752	non Enzyme
Q8H0U4	non Enzyme
Q92973	non Enzyme
Q9Y5L0	non Enzyme
Q9NP84	non Enzyme
Q9CR75	non Enzyme
Q92956	non Enzyme
P50555	non Enzyme
P47741	non Enzyme
P27512	non Enzyme
P28908	non Enzyme
Q9LHE5	non Enzyme
P53840	non Enzyme
Q5JTV8	non Enzyme
Q94KI8	non Enzyme
Q9UJA5	non Enzyme
Q03774	non Enzyme
Q09433	non Enzyme
P52231	non Enzyme
Q91YX0	non Enzyme
Q9FGT8	non Enzyme
P62072	non Enzyme
P87108	non Enzyme
P53299	non Enzyme
Q3ZCQ8	non Enzyme
O74700	non Enzyme
P20414	non Enzyme
P12032	non Enzyme
Q07352	non Enzyme
P82228	non Enzyme
Q08144	non Enzyme
Q15399	non Enzyme
O60603	non Enzyme
O15455	non Enzyme
Q9NR97	non Enzyme
P43345	non Enzyme
Q61663	non Enzyme
Q9CYV5	non Enzyme
Q9H2S6	non Enzyme
P19351	non Enzyme
Q93038	non Enzyme
P36941	non Enzyme
P25942	non Enzyme
Q9HCJ0	non Enzyme
P25445	non Enzyme
Q60846	non Enzyme
P97525	non Enzyme
P82873	non Enzyme
P82805	non Enzyme
Q54GH3	non Enzyme
O60784	non Enzyme
P35180	non Enzyme
Q75Q41	non Enzyme
Q15785	non Enzyme
O94826	non Enzyme
Q9P0U1	non Enzyme
P02929	non Enzyme
Q96HA7	non Enzyme
Q95NU5	non Enzyme
O77277	non Enzyme
Q3TBL6	non Enzyme
Q13641	non Enzyme
Q6NUF4	non Enzyme
Q969Z4	non Enzyme
P15533	non Enzyme
Q8I8U7	non Enzyme
P38811	non Enzyme
Q15628	non Enzyme
P39428	non Enzyme
O14763	non Enzyme
Q9UI30	non Enzyme
Q17308	non Enzyme
P34708	non Enzyme
Q9UPV9	non Enzyme
Q9FJW5	non Enzyme
Q13061	non Enzyme
Q9JKE2	non Enzyme
P02789	non Enzyme
P02787	non Enzyme
Q3LRV9	non Enzyme
Q8L7L8	non Enzyme
Q9UBN4	non Enzyme
Q61143	non Enzyme
Q99394	non Enzyme
P29448	non Enzyme
P54356	non Enzyme
P22265	non Enzyme
Q07381	non Enzyme
P02766	non Enzyme
G5EE86	non Enzyme
Q9C0H2	non Enzyme
P50586	non Enzyme
P25823	non Enzyme
O75386	non Enzyme
Q09715	non Enzyme
Q9VFM9	non Enzyme
Q99MV2	non Enzyme
Q9DBG9	non Enzyme
Q9BRA2	non Enzyme
P40222	non Enzyme
Q86VQ3	non Enzyme
Q8N427	non Enzyme
Q69AB2	non Enzyme
P83476	non Enzyme
P20065	non Enzyme
P0DI81	non Enzyme
O43399	non Enzyme
P17536	non Enzyme
P67936	non Enzyme
Q02088	non Enzyme
Q07824	non Enzyme
Q9ZSR7	non Enzyme
Q8R2H7	non Enzyme
P07204	non Enzyme
A1Z8N1	non Enzyme
Q96PN7	non Enzyme
Q14142	non Enzyme
Q9BYJ4	non Enzyme
Q8IWZ5	non Enzyme
Q54D84	non Enzyme
Q7L0X0	non Enzyme
P22217	non Enzyme
O94504	non Enzyme
Q7RTX1	non Enzyme
Q8TE23	non Enzyme
P98066	non Enzyme
Q8CGV9	non Enzyme
O95859	non Enzyme
O95858	non Enzyme
Q9SIN1	non Enzyme
Q12899	non Enzyme
Q9H8W5	non Enzyme
Q9BYV2	non Enzyme
Q9BYV6	non Enzyme
Q1XH17	non Enzyme
Q8K4K2	non Enzyme
O75382	non Enzyme
Q12816	non Enzyme
Q7Z4N2	non Enzyme
Q9UHF7	non Enzyme
O35433	non Enzyme
P69744	non Enzyme
P22803	non Enzyme
Q42403	non Enzyme
Q9SEU8	non Enzyme
P07591	non Enzyme
Q6NPF9	non Enzyme
Q7RTX0	non Enzyme
P40061	non Enzyme
O14817	non Enzyme
P07996	non Enzyme
O82245	non Enzyme
Q9H2G4	non Enzyme
Q9FT81	non Enzyme
O43156	non Enzyme
Q6ZVT0	non Enzyme
Q9NRJ4	non Enzyme
P10627	non Enzyme
Q18120	non Enzyme
Q9SHU7	non Enzyme
Q7Y1W1	non Enzyme
Q92563	non Enzyme
Q9BQ16	non Enzyme
Q8LBM2	non Enzyme
Q86X45	non Enzyme
Q8R138	non Enzyme
Q7KIN0	non Enzyme
Q9Z0L0	non Enzyme
P48553	non Enzyme
Q7Z392	non Enzyme
Q9ES56	non Enzyme
Q9BX59	non Enzyme
O14798	non Enzyme
Q17307	non Enzyme
Q5T2D2	non Enzyme
A8DYE2	non Enzyme
Q9VJJ7	non Enzyme
Q9WTR1	non Enzyme
P38334	non Enzyme
Q9C9Y6	non Enzyme
Q9SEU7	non Enzyme
Q925D8	non Enzyme
P38427	non Enzyme
Q9HC21	non Enzyme
Q16890	non Enzyme
Q99MS8	non Enzyme
F4J8D3	non Enzyme
Q94AI7	non Enzyme
Q27249	non Enzyme
P49455	non Enzyme
P40238	non Enzyme
Q9Y2L5	non Enzyme
Q9D8D0	non Enzyme
O23166	non Enzyme
P19018	non Enzyme
Q9NZC2	non Enzyme
Q14134	non Enzyme
Q6P9F5	non Enzyme
Q7TNM2	non Enzyme
Q15650	non Enzyme
Q86YW5	non Enzyme
Q9FJ57	non Enzyme
Q9FIQ5	non Enzyme
Q93971	non Enzyme
Q9JJH7	non Enzyme
Q8NET8	non Enzyme
Q9HBA0	non Enzyme
Q80YV3	non Enzyme
Q03337	non Enzyme
O14463	non Enzyme
Q9SK50	non Enzyme
Q6DRL4	non Enzyme
Q7Z2Z1	non Enzyme
Q9NPL8	non Enzyme
Q7Z403	non Enzyme
Q8IU68	non Enzyme
Q13445	non Enzyme
Q9HCN3	non Enzyme
Q15025	non Enzyme
Q96KP6	non Enzyme
P36188	non Enzyme
P45379	non Enzyme
O14787	non Enzyme
Q02223	non Enzyme
O96008	non Enzyme
P53507	non Enzyme
Q51368	non Enzyme
P03562	non Enzyme
Q15633	non Enzyme
P07676	non Enzyme
Q0PB48	non Enzyme
Q12815	non Enzyme
P48995	non Enzyme
Q2TV84	non Enzyme
O94759	non Enzyme
Q8R4D5	non Enzyme
Q9H1D0	non Enzyme
Q03784	non Enzyme
P46944	non Enzyme
Q8YSQ6	non Enzyme
Q9BVK6	non Enzyme
Q9P0T7	non Enzyme
O43557	non Enzyme
O95407	non Enzyme
P09225	non Enzyme
P41273	non Enzyme
Q9XUS7	non Enzyme
P02930	non Enzyme
Q9VUN0	non Enzyme
Q9FQ25	non Enzyme
Q7TQD2	non Enzyme
Q0J7U6	non Enzyme
F4I2H7	non Enzyme
Q9JKT4	non Enzyme
O00220	non Enzyme
Q03660	non Enzyme
O14836	non Enzyme
Q96RJ3	non Enzyme
Q9Y2W1	non Enzyme
P70191	non Enzyme
Q15629	non Enzyme
Q9NP99	non Enzyme
Q9C019	non Enzyme
Q96RU7	non Enzyme
Q9C029	non Enzyme
Q8BWC0	non Enzyme
P06754	non Enzyme
Q96Q05	non Enzyme
O94811	non Enzyme
Q5NBT9	non Enzyme
A1Z8P9	non Enzyme
P12270	non Enzyme
Q9ULW0	non Enzyme
O14246	non Enzyme
Q9QZM4	non Enzyme
P53738	non Enzyme
O00300	non Enzyme
P34709	non Enzyme
Q3UDK1	non Enzyme
Q3U0V2	non Enzyme
Q13077	non Enzyme
O00463	non Enzyme
Q86L04	non Enzyme
Q12931	non Enzyme
Q6PIZ9	non Enzyme
Q8VWK4	non Enzyme
Q7KRW1	non Enzyme
P20396	non Enzyme
O95361	non Enzyme
Q922Y2	non Enzyme
O43715	non Enzyme
Q15643	non Enzyme
Q80ZI1	non Enzyme
P28289	non Enzyme
P48023	non Enzyme
P63316	non Enzyme
P48787	non Enzyme
Q9Y6Q6	non Enzyme
O35714	non Enzyme
Q9JLL3	non Enzyme
P20333	non Enzyme
Q07011	non Enzyme
Q9V477	non Enzyme
Q9C5W7	non Enzyme
Q9H497	non Enzyme
O94842	non Enzyme
P55327	non Enzyme
P62995	non Enzyme
P08582	non Enzyme
Q27896	non Enzyme
Q07283	non Enzyme
Q24119	non Enzyme
P01150	non Enzyme
P48994	non Enzyme
Q99816	non Enzyme
F4ICX9	non Enzyme
P49815	non Enzyme
Q9BZW7	non Enzyme
Q5DTH5	non Enzyme
P01222	non Enzyme
Q8NG11	non Enzyme
Q01534	non Enzyme
Q6PGP7	non Enzyme
P17789	non Enzyme
Q8LEK2	non Enzyme
Q9Z0P5	non Enzyme
Q9EP52	non Enzyme
Q924B5	non Enzyme
Q9USR1	non Enzyme
Q8BHN1	non Enzyme
P49268	non Enzyme
O43914	non Enzyme
Q9NPG3	non Enzyme
Q14157	non Enzyme
Q13404	non Enzyme
P17480	non Enzyme
Q9NRR5	non Enzyme
P55916	non Enzyme
Q8IX04	non Enzyme
Q7YSI9	non Enzyme
Q03412	non Enzyme
P50464	non Enzyme
Q8BL48	non Enzyme
Q59QC7	non Enzyme
P38572	non Enzyme
P38573	non Enzyme
Q08537	non Enzyme
Q9C8J7	non Enzyme
Q9FFY9	non Enzyme
Q7Z020	non Enzyme
Q9R244	non Enzyme
Q9Y210	non Enzyme
P11596	non Enzyme
Q9XFH9	non Enzyme
Q39241	non Enzyme
O48737	non Enzyme
Q9SEU6	non Enzyme
Q8LD49	non Enzyme
P35442	non Enzyme
Q8RYD9	non Enzyme
A7YE96	non Enzyme
Q8I7G4	non Enzyme
G5ED35	non Enzyme
O88413	non Enzyme
O18423	non Enzyme
Q8NBS9	non Enzyme
P10074	non Enzyme
Q8VY74	non Enzyme
Q18297	non Enzyme
Q8BLA8	non Enzyme
Q8TD43	non Enzyme
G5EEV2	non Enzyme
Q9Y4A5	non Enzyme
P16473	non Enzyme
O60635	non Enzyme
Q99598	non Enzyme
P35443	non Enzyme
Q9RFC8	non Enzyme
Q99LG4	non Enzyme
Q23049	non Enzyme
Q15361	non Enzyme
Q8BWP5	non Enzyme
O00294	non Enzyme
Q9VYV3	non Enzyme
Q6A555	non Enzyme
O14530	non Enzyme
Q5AL36	non Enzyme
P90978	non Enzyme
Q46821	non Enzyme
Q07307	non Enzyme
P26651	non Enzyme
Q9H313	non Enzyme
P81694	non Enzyme
Q9H3M7	non Enzyme
O43396	non Enzyme
P36629	non Enzyme
O45495	non Enzyme
P52488	non Enzyme
P0CG63	non Enzyme
Q70EL1	non Enzyme
P23678	non Enzyme
O08934	non Enzyme
Q9XV66	non Enzyme
Q23064	non Enzyme
Q20745	non Enzyme
P37806	non Enzyme
Q19203	non Enzyme
O05515	non Enzyme
Q9UUG9	non Enzyme
Q9NRE2	non Enzyme
Q8QZY6	non Enzyme
Q9JHH2	non Enzyme
P41732	non Enzyme
B1AH88	non Enzyme
P16257	non Enzyme
Q9FJA2	non Enzyme
Q62187	non Enzyme
Q9XGN1	non Enzyme
P02767	non Enzyme
P22812	non Enzyme
P0CY34	non Enzyme
O75896	non Enzyme
Q05BQ1	non Enzyme
E9PZ19	non Enzyme
P53250	non Enzyme
Q6P902	non Enzyme
Q715T0	non Enzyme
Q8RWV8	non Enzyme
Q13432	non Enzyme
Q01081	non Enzyme
Q8BGJ9	non Enzyme
Q9S709	non Enzyme
Q9LES2	non Enzyme
Q9GZZ9	non Enzyme
O15205	non Enzyme
Q9UMX0	non Enzyme
P57075	non Enzyme
Q04228	non Enzyme
O95847	non Enzyme
P41834	non Enzyme
Q24562	non Enzyme
P26368	non Enzyme
Q15696	non Enzyme
Q15819	non Enzyme
Q9VYY3	non Enzyme
Q9BSL1	non Enzyme
P0CG47	non Enzyme
Q92575	non Enzyme
O00124	non Enzyme
Q969E3	non Enzyme
P12242	non Enzyme
Q39090	non Enzyme
Q6RJQ3	non Enzyme
O02482	non Enzyme
O75631	non Enzyme
Q8VWG3	non Enzyme
Q7Z4L5	non Enzyme
Q96AE7	non Enzyme
Q5W5X9	non Enzyme
Q86TV6	non Enzyme
B7ZS96	non Enzyme
P16649	non Enzyme
P26687	non Enzyme
P41226	non Enzyme
Q8NBM4	non Enzyme
Q8R317	non Enzyme
P34223	non Enzyme
P39001	non Enzyme
Q62768	non Enzyme
Q8NB66	non Enzyme
Q6DGE9	non Enzyme
Q8IV45	non Enzyme
Q9H1C4	non Enzyme
P52906	non Enzyme
P34374	non Enzyme
Q06561	non Enzyme
Q6ZN44	non Enzyme
O08747	non Enzyme
Q8K1S2	non Enzyme
Q26261	non Enzyme
Q9N5D6	non Enzyme
Q93380	non Enzyme
O82628	non Enzyme
P27449	non Enzyme
Q45FX5	non Enzyme
C8VTV4	non Enzyme
P49767	non Enzyme
Q94918	non Enzyme
Q26366	non Enzyme
Q8RWZ7	non Enzyme
Q8W4S4	non Enzyme
P40338	non Enzyme
Q7Z7G8	non Enzyme
Q9VAG4	non Enzyme
P03089	non Enzyme
Q9BTA9	non Enzyme
Q92558	non Enzyme
Q9UPY6	non Enzyme
Q95107	non Enzyme
Q9Y2W2	non Enzyme
Q969T9	non Enzyme
O75554	non Enzyme
Q11176	non Enzyme
Q9VU68	non Enzyme
O88342	non Enzyme
Q96EX3	non Enzyme
Q9P2L0	non Enzyme
Q14508	non Enzyme
Q7TQN3	non Enzyme
O76024	non Enzyme
P34888	non Enzyme
P28465	non Enzyme
P40589	non Enzyme
P24383	non Enzyme
P51028	non Enzyme
Q6X5Y6	non Enzyme
O80462	non Enzyme
P23025	non Enzyme
P55060	non Enzyme
Q9HAV4	non Enzyme
Q9UBH6	non Enzyme
Q6P2D8	non Enzyme
F1QC45	non Enzyme
Q02931	non Enzyme
O75691	non Enzyme
Q9BRU9	non Enzyme
Q02354	non Enzyme
P38882	non Enzyme
O64503	non Enzyme
Q9M9S6	non Enzyme
P46939	non Enzyme
Q9UBK9	non Enzyme
P31412	non Enzyme
P22203	non Enzyme
P34546	non Enzyme
Q9NHV9	non Enzyme
Q2NKI2	non Enzyme
P45880	non Enzyme
P11473	non Enzyme
P87377	non Enzyme
A8Y987	non Enzyme
P03093	non Enzyme
Q02767	non Enzyme
Q155U0	non Enzyme
P36116	non Enzyme
P34561	non Enzyme
Q8N3P4	non Enzyme
O42250	non Enzyme
Q8TAG5	non Enzyme
Q08831	non Enzyme
Q8C8N3	non Enzyme
Q62935	non Enzyme
Q6GPH4	non Enzyme
P17861	non Enzyme
P51811	non Enzyme
Q9QXY7	non Enzyme
Q64267	non Enzyme
Q01831	non Enzyme
Q9UIA9	non Enzyme
Q7PC79	non Enzyme
P12018	non Enzyme
Q80874	non Enzyme
Q9NP79	non Enzyme
P40046	non Enzyme
P43585	non Enzyme
Q96AJ9	non Enzyme
P04004	non Enzyme
O00401	non Enzyme
Q6UXN9	non Enzyme
Q9BRX9	non Enzyme
Q6MX01	non Enzyme
Q9M9S3	non Enzyme
Q8TF74	non Enzyme
Q5MNZ9	non Enzyme
Q9UBV4	non Enzyme
Q9SUP6	non Enzyme
Q6QHD1	non Enzyme
Q7TQJ8	non Enzyme
P47992	non Enzyme
O15537	non Enzyme
Q96QU8	non Enzyme
O43543	non Enzyme
P32563	non Enzyme
Q13488	non Enzyme
Q9STT2	non Enzyme
P20795	non Enzyme
Q96QK1	non Enzyme
P38959	non Enzyme
F4JT76	non Enzyme
Q9VKM6	non Enzyme
Q6UX27	non Enzyme
Q02725	non Enzyme
P47075	non Enzyme
P04276	non Enzyme
Q9Y4E1	non Enzyme
Q9GZL7	non Enzyme
Q9C0J8	non Enzyme
Q5JSH3	non Enzyme
Q9NNW5	non Enzyme
Q571B6	non Enzyme
P22724	non Enzyme
Q92050	non Enzyme
P22727	non Enzyme
P28026	non Enzyme
P50902	non Enzyme
P19544	non Enzyme
Q12363	non Enzyme
Q6AWC2	non Enzyme
Q9GZV5	non Enzyme
P78423	non Enzyme
Q8L5C6	non Enzyme
Q702N8	non Enzyme
Q9CXE6	non Enzyme
P03165	non Enzyme
Q09068	non Enzyme
Q86UX7	non Enzyme
P69332	non Enzyme
Q8N6Y0	non Enzyme
Q6J1H4	non Enzyme
P52735	non Enzyme
Q9SRH5	non Enzyme
P21796	non Enzyme
Q9SMX3	non Enzyme
F4KHI3	non Enzyme
O60504	non Enzyme
Q9SZQ5	non Enzyme
O80796	non Enzyme
P48143	non Enzyme
Q9D659	non Enzyme
Q9Y279	non Enzyme
Q8R2Z5	non Enzyme
Q70UZ7	non Enzyme
Q9W0S8	non Enzyme
P70315	non Enzyme
Q8IWB7	non Enzyme
Q8IZQ1	non Enzyme
P59328	non Enzyme
Q8TBZ3	non Enzyme
A6N6J5	non Enzyme
Q8NI36	non Enzyme
Q9V3J8	non Enzyme
Q80ZK9	non Enzyme
P30560	non Enzyme
P30518	non Enzyme
Q9Z2P8	non Enzyme
Q86V25	non Enzyme
P70460	non Enzyme
P36543	non Enzyme
Q21898	non Enzyme
Q54E04	non Enzyme
P23968	non Enzyme
Q9LTT8	non Enzyme
P97953	non Enzyme
C8VTS4	non Enzyme
P16778	non Enzyme
Q8NDX2	non Enzyme
Q05320	non Enzyme
P09327	non Enzyme
Q0KK55	non Enzyme
P00981	non Enzyme
Q54NL4	non Enzyme
Q96GC9	non Enzyme
Q04311	non Enzyme
P82972	non Enzyme
P03087	non Enzyme
Q86XT2	non Enzyme
P13372	non Enzyme
Q24314	non Enzyme
Q9BRG1	non Enzyme
P34110	non Enzyme
Q9VU87	non Enzyme
Q86VN1	non Enzyme
Q06696	non Enzyme
Q5VIR6	non Enzyme
Q03390	non Enzyme
Q15906	non Enzyme
Q8IV63	non Enzyme
Q9LSF6	non Enzyme
Q9SEL5	non Enzyme
Q9JI51	non Enzyme
Q04338	non Enzyme
Q9BUR4	non Enzyme
Q0WQF4	non Enzyme
Q9Z1G4	non Enzyme
P05928	non Enzyme
Q03308	non Enzyme
P59015	non Enzyme
P36095	non Enzyme
Q9UK41	non Enzyme
Q9FF81	non Enzyme
Q96JC1	non Enzyme
Q19954	non Enzyme
Q9P1Q0	non Enzyme
Q12071	non Enzyme
Q9C0U7	non Enzyme
Q92331	non Enzyme
Q06385	non Enzyme
P37370	non Enzyme
Q5GFL6	non Enzyme
Q505H4	non Enzyme
P80012	non Enzyme
Q28295	non Enzyme
P04275	non Enzyme
P69282	non Enzyme
Q8WVS4	non Enzyme
P34761	non Enzyme
Q9ZX29	non Enzyme
Q7AKI9	non Enzyme
P10090	non Enzyme
O43516	non Enzyme
Q9Z0G8	non Enzyme
Q9XI90	non Enzyme
Q9SB92	non Enzyme
P47993	non Enzyme
O73682	non Enzyme
P41587	non Enzyme
P18948	non Enzyme
P22808	non Enzyme
Q9SGQ0	non Enzyme
Q9FY89	non Enzyme
Q9NZR4	non Enzyme
Q06263	non Enzyme
Q9UR17	non Enzyme
Q7TSP5	non Enzyme
P02774	non Enzyme
Q9BZH6	non Enzyme
Q17963	non Enzyme
B2ZZS9	non Enzyme
O43379	non Enzyme
Q9VJN5	non Enzyme
P56695	non Enzyme
O53353	non Enzyme
Q9VWS4	non Enzyme
Q80VW5	non Enzyme
Q9FH18	non Enzyme
O95388	non Enzyme
O76076	non Enzyme
P34889	non Enzyme
P04426	non Enzyme
P09544	non Enzyme
P56703	non Enzyme
P28466	non Enzyme
Q9FL26	non Enzyme
Q9C7S6	non Enzyme
P49953	non Enzyme
Q12206	non Enzyme
Q9UPY5	non Enzyme
Q9TVM2	non Enzyme
O14980	non Enzyme
P33418	non Enzyme
Q08DH8	non Enzyme
Q6NLW5	non Enzyme
Q10L71	non Enzyme
Q3ZAQ7	non Enzyme
P42839	non Enzyme
Q709C8	non Enzyme
P06492	non Enzyme
Q9Y1I2	non Enzyme
Q05127	non Enzyme
Q07878	non Enzyme
Q04272	non Enzyme
P47142	non Enzyme
P40343	non Enzyme
Q9UBQ0	non Enzyme
Q9SKI2	non Enzyme
P52917	non Enzyme
O01839	non Enzyme
G5EFV8	non Enzyme
Q9VLC0	non Enzyme
Q9Y6W5	non Enzyme
P42768	non Enzyme
Q8GXA4	non Enzyme
Q7YWX7	non Enzyme
Q9GZT5	non Enzyme
P48614	non Enzyme
P21552	non Enzyme
Q6X7J4	non Enzyme
P0DKH5	non Enzyme
Q9LY00	non Enzyme
Q9C519	non Enzyme
Q9Y6I7	non Enzyme
O36027	non Enzyme
Q8H110	non Enzyme
P06463	non Enzyme
Q00731	non Enzyme
O43915	non Enzyme
P08670	non Enzyme
Q9FIE3	non Enzyme
Q54MH2	non Enzyme
Q69YN4	non Enzyme
Q01827	non Enzyme
P04135	non Enzyme
Q96AW1	non Enzyme
Q9SLB9	non Enzyme
Q8C0E2	non Enzyme
Q9H267	non Enzyme
Q8NEZ2	non Enzyme
O42930	non Enzyme
Q9SJ40	non Enzyme
Q9URW7	non Enzyme
Q9P253	non Enzyme
Q7JXV9	non Enzyme
P39702	non Enzyme
Q9W517	non Enzyme
Q03631	non Enzyme
Q9Y3C0	non Enzyme
Q2M389	non Enzyme
Q54CK9	non Enzyme
A8K0Z3	non Enzyme
Q94AP3	non Enzyme
Q9W266	non Enzyme
Q8NEZ3	non Enzyme
Q9XZ25	non Enzyme
Q9H7D7	non Enzyme
P57081	non Enzyme
O80775	non Enzyme
Q9GZS3	non Enzyme
Q9V4M2	non Enzyme
O88286	non Enzyme
Q95ST2	non Enzyme
B4LC58	non Enzyme
P49893	non Enzyme
P56705	non Enzyme
Q5AP80	non Enzyme
Q9ZVF5	non Enzyme
Q6X7J5	non Enzyme
Q9C5T4	non Enzyme
Q8S8P5	non Enzyme
Q92093	non Enzyme
P98165	non Enzyme
P98155	non Enzyme
Q9VIP8	non Enzyme
Q9J3N8	non Enzyme
A5D8V6	non Enzyme
O92446	non Enzyme
P15920	non Enzyme
P32319	non Enzyme
Q9H270	non Enzyme
Q9V359	non Enzyme
P49754	non Enzyme
Q8N1B4	non Enzyme
P53853	non Enzyme
P05919	non Enzyme
Q9P6R1	non Enzyme
Q9SEL6	non Enzyme
Q54CK6	non Enzyme
Q9UEU0	non Enzyme
Q8R0A6	non Enzyme
Q7Z5K2	non Enzyme
Q7JW27	non Enzyme
O44342	non Enzyme
Q8TAF3	non Enzyme
A4UGR9	non Enzyme
Q55AN8	non Enzyme
P22725	non Enzyme
O35468	non Enzyme
P09615	non Enzyme
Q9SKD9	non Enzyme
Q10953	non Enzyme
Q9P2S5	non Enzyme
Q9C516	non Enzyme
Q24595	non Enzyme
Q9SMV6	non Enzyme
O43592	non Enzyme
Q24JK4	non Enzyme
Q13426	non Enzyme
O75695	non Enzyme
P0DOF0	non Enzyme
Q9LU01	non Enzyme
Q66GR6	non Enzyme
Q9W3W5	non Enzyme
Q5T9L3	non Enzyme
P70701	non Enzyme
P48615	non Enzyme
Q9SIB4	non Enzyme
Q9C500	non Enzyme
C6KIE6	non Enzyme
Q9FKM5	non Enzyme
O43542	non Enzyme
P33301	non Enzyme
P25992	non Enzyme
Q9ASS4	non Enzyme
Q5AJU7	non Enzyme
P46937	non Enzyme
P19880	non Enzyme
Q9Y0X6	non Enzyme
P31489	non Enzyme
P24813	non Enzyme
P67809	non Enzyme
Q8QGR0	non Enzyme
Q9V8R9	non Enzyme
P11171	non Enzyme
Q13541	non Enzyme
P08195	non Enzyme
P14842	non Enzyme
P41595	non Enzyme
Q9JJ16	non Enzyme
P35364	non Enzyme
P25099	non Enzyme
P30543	non Enzyme
P0DMS8	non Enzyme
Q9NRG9	non Enzyme
Q9FUT3	non Enzyme
Q02486	non Enzyme
Q8BUZ1	non Enzyme
Q15027	non Enzyme
O00400	non Enzyme
Q9SM23	non Enzyme
Q9MA55	non Enzyme
P07108	non Enzyme
Q9JLB5	non Enzyme
P25162	non Enzyme
Q27218	non Enzyme
Q9U298	non Enzyme
P32297	non Enzyme
P30532	non Enzyme
P49582	non Enzyme
P58154	non Enzyme
Q9UKV3	non Enzyme
P20309	non Enzyme
P07830	non Enzyme
P07829	non Enzyme
P60709	non Enzyme
P35609	non Enzyme
P48349	non Enzyme
P92177	non Enzyme
P62258	non Enzyme
P27348	non Enzyme
P38903	non Enzyme
P04229	non Enzyme
P78314	non Enzyme
P54619	non Enzyme
Q54I71	non Enzyme
Q8RXN0	non Enzyme
Q9LVM1	non Enzyme
O80725	non Enzyme
Q8H8V7	non Enzyme
Q9ZS97	non Enzyme
Q86UK0	non Enzyme
P61221	non Enzyme
P45844	non Enzyme
Q9P2A4	non Enzyme
P33487	non Enzyme
Q9QYL7	non Enzyme
P25110	non Enzyme
O00590	non Enzyme
P11229	non Enzyme
P24005	non Enzyme
P35348	non Enzyme
P18871	non Enzyme
P30545	non Enzyme
Q96A54	non Enzyme
Q28998	non Enzyme
P18090	non Enzyme
P25962	non Enzyme
P18239	non Enzyme
Q16537	non Enzyme
Q09543	non Enzyme
Q12702	non Enzyme
Q00362	non Enzyme
Q00005	non Enzyme
P36877	non Enzyme
P19327	non Enzyme
O08892	non Enzyme
P12961	non Enzyme
P16376	non Enzyme
P08697	non Enzyme
Q9V3R1	non Enzyme
Q9N587	non Enzyme
Q9UGM1	non Enzyme
P30926	non Enzyme
Q16570	non Enzyme
P25106	non Enzyme
P08172	non Enzyme
P97717	non Enzyme
Q99965	non Enzyme
P31946	non Enzyme
P31947	non Enzyme
P01892	non Enzyme
P36179	non Enzyme
P30153	non Enzyme
P31383	non Enzyme
Q10428	non Enzyme
P01391	non Enzyme
P60770	non Enzyme
P08908	non Enzyme
Q9UGI9	non Enzyme
Q39134	non Enzyme
Q0WML0	non Enzyme
Q99758	non Enzyme
Q8WWZ7	non Enzyme
Q9NP78	non Enzyme
Q9JI39	non Enzyme
O95342	non Enzyme
O60706	non Enzyme
Q96J66	non Enzyme
Q8NE71	non Enzyme
P09087	non Enzyme
P14164	non Enzyme
Q55FT9	non Enzyme
Q24174	non Enzyme
Q5SSL4	non Enzyme
Q969K4	non Enzyme
Q13362	non Enzyme
Q38951	non Enzyme
P36872	non Enzyme
O60239	non Enzyme
A0S865	non Enzyme
P01446	non Enzyme
Q9NRA8	non Enzyme
P30939	non Enzyme
P20905	non Enzyme
P28285	non Enzyme
P28286	non Enzyme
P30994	non Enzyme
P28335	non Enzyme
O95264	non Enzyme
P31388	non Enzyme
P01023	non Enzyme
Q60614	non Enzyme
Q9NS82	non Enzyme
Q9Y478	non Enzyme
Q8GUM3	non Enzyme
Q9XIE2	non Enzyme
Q9CAF5	non Enzyme
Q86UQ4	non Enzyme
O75027	non Enzyme
Q9NRK6	non Enzyme
P33897	non Enzyme
Q9UBJ2	non Enzyme
Q9UNQ0	non Enzyme
Q8CBW3	non Enzyme
P02763	non Enzyme
P02750	non Enzyme
A8K2U0	non Enzyme
Q6PD74	non Enzyme
Q9LJX0	non Enzyme
