Protein UniProt Acc.	EC Number
P11978	non Enzyme
P18085	non Enzyme
O88689	non Enzyme
Q9EQR5	non Enzyme
A5HNV6	non Enzyme
Q12926	non Enzyme
Q6PIU1	non Enzyme
Q6UWU4	non Enzyme
Q9LVQ7	non Enzyme
Q8RX79	non Enzyme
Q99808	non Enzyme
P80313	non Enzyme
Q05900	non Enzyme
Q9HA38	non Enzyme
P21730	non Enzyme
P04608	non Enzyme
Q949S9	non Enzyme
P06774	non Enzyme
O14561	non Enzyme
Q9U7C9	non Enzyme
P22415	non Enzyme
P50220	non Enzyme
P61020	non Enzyme
Q27003	non Enzyme
Q15011	non Enzyme
Q5F924	non Enzyme
Q966L8	non Enzyme
P25613	non Enzyme
Q8N6L0	non Enzyme
Q8BSN3	non Enzyme
Q9BQA5	non Enzyme
Q92356	non Enzyme
P34160	non Enzyme
P43407	non Enzyme
Q87TN7	non Enzyme
Q15149	non Enzyme
Q9D5U9	non Enzyme
P78363	non Enzyme
Q8IWI9	non Enzyme
P01522	non Enzyme
Q17391	non Enzyme
Q9NPQ8	non Enzyme
P13598	non Enzyme
Q61060	non Enzyme
P41811	non Enzyme
Q9Y5U5	non Enzyme
P14859	non Enzyme
Q8IMA8	non Enzyme
P50704	non Enzyme
Q96GS4	non Enzyme
P38339	non Enzyme
O60524	non Enzyme
Q84MZ4	non Enzyme
P35637	non Enzyme
Q9DGW5	non Enzyme
P32835	non Enzyme
Q8IWY9	non Enzyme
Q8NHY3	non Enzyme
Q9ZP20	non Enzyme
Q9JHX3	non Enzyme
Q967F4	non Enzyme
P04247	non Enzyme
Q23288	non Enzyme
Q9UBR4	non Enzyme
Q03096	non Enzyme
P10863	non Enzyme
P00156	non Enzyme
Q02427	non Enzyme
Q9LYA9	non Enzyme
P02549	non Enzyme
Q96QT6	non Enzyme
Q99962	non Enzyme
Q9SIF2	non Enzyme
Q8N0X7	non Enzyme
Q7TPV4	non Enzyme
P53256	non Enzyme
Q7M730	non Enzyme
Q9CWE6	non Enzyme
Q45666	non Enzyme
P09084	non Enzyme
P23577	non Enzyme
Q921B4	non Enzyme
P08970	non Enzyme
P56539	non Enzyme
P12904	non Enzyme
Q9Y5H9	non Enzyme
O14764	non Enzyme
Q9P121	non Enzyme
P71021	non Enzyme
Q9VIE6	non Enzyme
F4K5X6	non Enzyme
Q93ZH0	non Enzyme
Q2WEN9	non Enzyme
Q9SD40	non Enzyme
Q08AD1	non Enzyme
P98082	non Enzyme
Q9VSR3	non Enzyme
Q15070	non Enzyme
Q8BUL6	non Enzyme
P87074	non Enzyme
P14927	non Enzyme
P05060	non Enzyme
Q15796	non Enzyme
Q95XG8	non Enzyme
Q86NH1	non Enzyme
Q96HJ5	non Enzyme
P56383	non Enzyme
Q9VEZ3	non Enzyme
P38570	non Enzyme
Q24325	non Enzyme
P0CAX7	non Enzyme
Q06671	non Enzyme
Q9FDX8	non Enzyme
Q9W0P8	non Enzyme
Q96FL8	non Enzyme
Q9H2F5	non Enzyme
O17389	non Enzyme
Q8NA72	non Enzyme
P41832	non Enzyme
P52655	non Enzyme
P52701	non Enzyme
O88935	non Enzyme
Q8T135	non Enzyme
P05555	non Enzyme
A4QPC6	non Enzyme
Q9BXR5	non Enzyme
Q2LKV2	non Enzyme
P17028	non Enzyme
P19814	non Enzyme
P15692	non Enzyme
Q9GZS0	non Enzyme
P41956	non Enzyme
P50605	non Enzyme
Q9Z179	non Enzyme
O22993	non Enzyme
Q9UJ55	non Enzyme
P31044	non Enzyme
P48549	non Enzyme
Q09822	non Enzyme
P42203	non Enzyme
Q99437	non Enzyme
Q96LR2	non Enzyme
Q8R0T6	non Enzyme
Q09024	non Enzyme
Q9GZC8	non Enzyme
P07766	non Enzyme
P60323	non Enzyme
Q4V5A3	non Enzyme
Q96251	non Enzyme
Q86SE9	non Enzyme
A9QM73	non Enzyme
P19073	non Enzyme
Q07020	non Enzyme
Q8IYR0	non Enzyme
Q8N187	non Enzyme
Q96PC3	non Enzyme
Q9Y294	non Enzyme
P01375	non Enzyme
O00585	non Enzyme
Q9Y5E3	non Enzyme
P07174	non Enzyme
P21731	non Enzyme
Q86W24	non Enzyme
Q96D42	non Enzyme
Q8BMD2	non Enzyme
O13712	non Enzyme
P00257	non Enzyme
O43236	non Enzyme
Q14213	non Enzyme
Q8TF30	non Enzyme
Q39089	non Enzyme
Q6P1C6	non Enzyme
P21541	non Enzyme
Q55DM1	non Enzyme
P29508	non Enzyme
Q7RTW8	non Enzyme
O22059	non Enzyme
Q6PEX3	non Enzyme
P51816	non Enzyme
Q9UNK0	non Enzyme
Q8BYR5	non Enzyme
Q8VD72	non Enzyme
P26783	non Enzyme
Q9NQZ3	non Enzyme
Q14644	non Enzyme
O55242	non Enzyme
Q6PKC3	non Enzyme
Q9ULW3	non Enzyme
Q9BXJ4	non Enzyme
Q9VBY8	non Enzyme
Q9NW64	non Enzyme
Q24423	non Enzyme
Q969S9	non Enzyme
Q99PW8	non Enzyme
O15533	non Enzyme
Q43468	non Enzyme
O82811	non Enzyme
O94701	non Enzyme
P33450	non Enzyme
P86013	non Enzyme
P92973	non Enzyme
P34109	non Enzyme
Q9H9P2	non Enzyme
Q14746	non Enzyme
Q22227	non Enzyme
P33681	non Enzyme
Q9D394	non Enzyme
Q96L92	non Enzyme
Q9SR96	non Enzyme
P35734	non Enzyme
Q14511	non Enzyme
Q8BHX3	non Enzyme
P10085	non Enzyme
Q1XA76	non Enzyme
O15091	non Enzyme
P09758	non Enzyme
Q6N043	non Enzyme
P49950	non Enzyme
P34145	non Enzyme
Q92673	non Enzyme
Q15059	non Enzyme
P12611	non Enzyme
Q15654	non Enzyme
Q9QYE9	non Enzyme
Q52S86	non Enzyme
Q9UW22	non Enzyme
Q9BXA9	non Enzyme
P01009	non Enzyme
Q71DI3	non Enzyme
P28571	non Enzyme
O88602	non Enzyme
Q91ZU6	non Enzyme
Q91V87	non Enzyme
O75469	non Enzyme
Q8WXC6	non Enzyme
Q71UM5	non Enzyme
Q8TBK6	non Enzyme
P22329	non Enzyme
P07273	non Enzyme
Q62991	non Enzyme
P35200	non Enzyme
Q96RQ1	non Enzyme
Q6IQ19	non Enzyme
O04663	non Enzyme
P13596	non Enzyme
Q8WUM4	non Enzyme
P40460	non Enzyme
Q3TPJ7	non Enzyme
Q12768	non Enzyme
Q9JKC0	non Enzyme
P15516	non Enzyme
Q96NE9	non Enzyme
P47170	non Enzyme
O14216	non Enzyme
P23352	non Enzyme
P38264	non Enzyme
P48544	non Enzyme
P62807	non Enzyme
Q9D856	non Enzyme
Q99574	non Enzyme
O14157	non Enzyme
P31371	non Enzyme
Q15029	non Enzyme
O75556	non Enzyme
Q8N126	non Enzyme
P61328	non Enzyme
Q7WY64	non Enzyme
Q5VYK3	non Enzyme
Q96B01	non Enzyme
P39927	non Enzyme
Q9VF87	non Enzyme
P16471	non Enzyme
F4IN23	non Enzyme
Q5H9R7	non Enzyme
Q8WVM7	non Enzyme
P82933	non Enzyme
Q7RTS9	non Enzyme
O75800	non Enzyme
Q96RI0	non Enzyme
P53833	non Enzyme
Q6PJP8	non Enzyme
P08427	non Enzyme
P22646	non Enzyme
Q01593	non Enzyme
Q60571	non Enzyme
Q7TSJ2	non Enzyme
P39687	non Enzyme
Q95TJ9	non Enzyme
P21583	non Enzyme
P51148	non Enzyme
Q8BZN6	non Enzyme
Q60771	non Enzyme
Q96C03	non Enzyme
Q8TCC7	non Enzyme
Q9N3Q8	non Enzyme
O74473	non Enzyme
Q9H0W8	non Enzyme
O82345	non Enzyme
P55197	non Enzyme
Q86SQ4	non Enzyme
Q9VNH6	non Enzyme
P40565	non Enzyme
P30630	non Enzyme
Q04500	non Enzyme
Q9Z0M6	non Enzyme
Q06677	non Enzyme
P09016	non Enzyme
Q99715	non Enzyme
P35500	non Enzyme
Q12934	non Enzyme
Q8NF91	non Enzyme
Q7Z3B4	non Enzyme
Q9Z0J0	non Enzyme
Q9QX66	non Enzyme
Q8UWJ4	non Enzyme
Q9Y277	non Enzyme
P54681	non Enzyme
P54686	non Enzyme
Q8AII2	non Enzyme
Q9LMH0	non Enzyme
Q9VCY3	non Enzyme
P46963	non Enzyme
Q5T601	non Enzyme
Q940B8	non Enzyme
P46059	non Enzyme
Q96AH0	non Enzyme
Q9SJG4	non Enzyme
Q9SJV5	non Enzyme
Q3V1G4	non Enzyme
P38140	non Enzyme
P06446	non Enzyme
P39685	non Enzyme
Q9Y2I6	non Enzyme
Q9UKG1	non Enzyme
P42409	non Enzyme
Q86W42	non Enzyme
P29353	non Enzyme
P59103	non Enzyme
Q9BZJ0	non Enzyme
Q7TS73	non Enzyme
P09959	non Enzyme
Q9P246	non Enzyme
A8IU92	non Enzyme
A6NHR9	non Enzyme
Q67Y93	non Enzyme
Q6X4W1	non Enzyme
Q8NI17	non Enzyme
P38629	non Enzyme
P07117	non Enzyme
P15328	non Enzyme
Q13461	non Enzyme
Q9UPT5	non Enzyme
Q6P2E9	non Enzyme
P14351	non Enzyme
Q9JJZ6	non Enzyme
P47818	non Enzyme
P49901	non Enzyme
P82970	non Enzyme

